100
3 3
1 2 1
1 3 6
2 3 4
6 5
1 2 6
3 4 0
5 6 7
3 5 1
4 6 2
3 2
1 2 0
2 3 10
4 3
1 2 0
1 3 1
1 4 2
2 1
1 2 0
2 1
1 2 1
10 40
1 2 0
2 7 5
2 9 7
1 4 2
1 8 6
1 6 4
1 10 8
2 3 1
2 5 3
1 9 1939
1 7 35739
3 8 95691
3 9 12217
4 9 36348
1 3 96243
3 10 91783
5 8 76721
5 7 13544
9 10 7371
4 7 77206
7 10 97732
6 10 93348
5 9 81702
4 10 45193
7 9 87439
6 9 32118
3 5 3254
2 6 25534
5 6 33539
5 10 34095
1 5 31331
2 4 43945
8 10 3806
2 10 85078
3 6 89925
4 6 51900
6 8 91293
7 8 95195
4 8 773
6 7 55216
10 22
4 9 23971
1 6 44859
2 3 89671
2 10 99031
1 7 10919
6 9 35457
3 7 59711
6 7 57104
6 10 16926
3 8 8042
7 10 57527
4 7 78829
1 8 21972
4 10 99092
4 8 21618
2 8 35390
5 7 40523
7 9 12267
7 8 5170
1 2 11370
8 9 13772
2 4 52655
10 22
9 10 63654
6 9 42537
7 10 60180
1 2 31112
3 4 71007
2 7 20993
2 5 62179
8 9 70112
1 4 81836
1 9 15853
8 10 18613
1 8 77365
4 10 68946
5 9 40341
4 7 96008
7 8 63397
3 5 33737
6 10 78725
1 6 10785
3 7 18309
3 8 92792
2 3 64449
10 38
6 7 76769
7 10 61059
7 8 10888
1 9 70335
3 9 25686
3 10 43673
2 8 4273
5 9 33769
6 9 15244
2 6 34879
5 10 47218
2 10 32371
4 5 93685
2 3 66383
7 9 85921
1 10 33996
1 3 28865
2 5 2312
3 6 75536
8 9 22972
4 7 9525
1 5 31958
2 9 40734
9 10 22389
5 6 33280
3 7 17197
4 8 29913
1 4 23232
3 5 81508
2 7 44262
4 9 20134
1 7 41201
5 8 55271
3 8 97245
4 10 42588
4 6 41390
5 7 39553
1 2 7875
10 44
6 9 18785
8 9 47724
3 9 68929
6 10 86518
4 5 93428
1 3 31410
2 7 1923
4 9 6897
